#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0f7d915b3799a3ff400c85690cc3ebdd	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__Rikenella	 s__
e5ce7ab8a6a0d4696470494317b88a45	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
7e73db4de58d113d7deb1bc4673148d0	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
7a79761110b254cc7dcf66b052d502a0	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
9617d5019237e05941dd26a065da9968	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
2a4cdb0ae582b4dfb292ecb09ce35fc8	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Blautia	
6030dc2d5bf896cbfb70d859aedfd783	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
772fd0d0e9fa8fcf6b15e320a350ea60	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
a536dc217446964627f6b33cdf724d61	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
23546877f9eebb5743fb0b8b593c2515	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
4096d6766b0fdcbaf2b2aa5ceed02cd4	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
5e7dbb874052c9f276a5cac401e92d1a	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__	 g__	 s__
c60cf2a6c2498f32af660492f7517918	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
f9936d30f446c30a8fa05f1d8bdd5884	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	
feb135e2f2afcd515a4a6aa26c001cf3	k__Bacteria	Tenericutes	 c__Mollicutes	 o__Entomoplasmatales	 f__	 g__	 s__
aae6dac133f54774abbcd76efca322c8	k__Bacteria	Actinobacteria	 c__Coriobacteriia	 o__Coriobacteriales	 f__Coriobacteriaceae	 g__	 s__
66f756b99ad946ec24a958fb89a45dea	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
fb6e980f3086701bceb57a00ccd6d563	k__Bacteria	Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__Candidatus Blochmannia	 s__
ffebd5d85f80640bb464e5d5c6810f38	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
648f1e3569e1b98a35eb4beb5e5d3e39	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
9a388672ef0064ac708688aca403fab6	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
9b034dda96a9675588ca188b3fbf9d2c	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
585d689251be417ff90bbf0ceefe0913	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
6a73f683bf96f4ffdd3daca8375c29f9	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Dorea	 s__
9d00dece127686e149e43c838475ac7f	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Dorea	 s__
