index	names	Swab	Smallintestine
Sg.M.HC.6.16S	d__Bacteria.p__Proteobacteria	7.104169000644473	0
Sg.M.HC.6.16S	d__Bacteria.p__Desulfobacterota	0.7806249678168602	0
Sg.M.HC.6.16S	d__Bacteria.p__Actinobacteriota	3.1949140503909064	0
Sg.M.HC.6.16S	d__Bacteria.p__Cyanobacteria	-2.727091876652127	0
Sg.M.HC.6.16S	d__Bacteria.p__Campilobacterota	1.4737721483768056	0
Sg.M.HC.6.16S	d__Bacteria.p__Verrucomicrobiota	1.7500255250049637	0
Sg.M.HC.6.16S	d__Bacteria.__Unassaigned	-3.6308074293052286	0
Sg.M.HC.6.16S	d__Bacteria.p__Spirochaetota	-7.322421139643455	0
Sg.M.HC.6.16S	d__Bacteria.p__Acidobacteriota	-4.985277910834345	0
Sg.M.HC.6.16S	d__Bacteria.p__Deferribacterota	-7.728489336074856	0
Sg.M.HC.7.16S	d__Bacteria.p__Firmicutes	0.47348747381079925	0
Sg.M.HC.7.16S	d__Bacteria.p__Bacteroidota	0.4734929502046574	0
Sg.M.HC.7.16S	d__Bacteria.p__Proteobacteria	5.691761060915779	0
Sg.M.HC.7.16S	d__Bacteria.p__Desulfobacterota	0.4742251439128815	0
Sg.M.HC.7.16S	d__Bacteria.p__Actinobacteriota	-0.5655235498695139	0
Sg.M.HC.7.16S	d__Bacteria.p__Cyanobacteria	-0.9175329410140891	0
Sg.M.HC.7.16S	d__Bacteria.p__Campilobacterota	10.587359545023675	0
Sg.M.HC.7.16S	d__Bacteria.p__Verrucomicrobiota	0.4744377648402607	0
Sg.M.HC.7.16S	d__Bacteria.__Unassaigned	-1.8869853372968708	0
Sg.M.HC.7.16S	d__Bacteria.p__Spirochaetota	-5.578599047635096	0
Sg.M.HC.7.16S	d__Bacteria.p__Acidobacteriota	-3.241455818825986	0
Sg.M.HC.7.16S	d__Bacteria.p__Deferribacterota	-5.984667244066498	0
Sg.M.HC.8.16S	d__Bacteria.p__Firmicutes	5.028341704142692	0
Sg.M.HC.8.16S	d__Bacteria.p__Bacteroidota	1.824976613973835	0
Sg.M.HC.8.16S	d__Bacteria.p__Proteobacteria	11.930958805268705	0
