OTUID	Sg.M.HC.1.16S	Sg.M.HC.2.16S	Sg.M.HC.3.16S	Sg.M.HC.10.16S	Sg.M.HC.4.16S	Sg.M.HC.5.16S	Sg.M.HC.6.16S	Sg.M.HC.7.16S	Sg.M.HC.8.16S	Sg.M.HC.9.16S	Sg.M.R.1.16S	Sg.M.R.2.16S	Sg.M.R.3.16S	Sg.M.R.10.16S	Sg.M.R.4.16S	Sg.M.R.5.16S	Sg.M.R.6.16S	Sg.M.R.7.16S	Sg.M.R.8.16S	Sg.M.R.9.16S
50cd083aab911d938d1ec95b952e0800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
862d8164effc724deb26e10d80050dfb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
082c4245101ba4c942b8d335889118bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
e4a269a43bf757dc01030b4a91fc06aa	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ffebd5d85f80640bb464e5d5c6810f38	0	10	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	22
850269dc256a49e7911c02d836acf5e2	0	0	0	0	0	0	11	0	0	0	0	0	0	12	0	0	50	0	0	0
1faf2aad9b167eee2f898a335712f8b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2244	0	0
121e9db1a1a72edda7b7a2bbc723bf5d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
2801499a120ab69b9a32f66b199a047f	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
94befefd58b96b9f30c476dabd6beac5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a3ec387c4e557381be14dad3d94736f7	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0
d6a6c2c7402c7746ae8f3c64899b0f7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8b5f90f80df6fa698c19de9d98ff845f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0
5cf5db27f37f0d012056c44d3633c726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0
e6a6a9477e90630b6b9878f80a53626b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
5a354076b2e0c89dd0a223647a43610c	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
17e497268176c8833665b4e7e49d4611	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
