q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.HC.5.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.993568453
1,Sg.M.HC.6.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.940429389
1,Sg.M.HC.7.16S,Sg.M.E.6.16S,Stomach,Cloaca,1
1,Sg.M.HC.8.16S,Sg.M.E.6.16S,Stomach,Cloaca,0.997263996
1,Sg.M.HC.9.16S,Sg.M.E.6.16S,Stomach,Cloaca,1
1,Sg.M.H.1.16S,Sg.M.E.7.16S,Stomach,Feces,0.922000951
1,Sg.M.H.10.16S,Sg.M.E.7.16S,Stomach,Feces,0.943432809
1,Sg.M.H.2.16S,Sg.M.E.7.16S,Stomach,Feces,0.926582591
1,Sg.M.H.3.16S,Sg.M.E.7.16S,Stomach,Feces,0.930254793
1,Sg.M.H.4.16S,Sg.M.E.7.16S,Stomach,Feces,0.955023538
1,Sg.M.H.5.16S,Sg.M.E.7.16S,Stomach,Feces,0.937316952
1,Sg.M.H.6.16S,Sg.M.E.7.16S,Stomach,Feces,0.908118401
1,Sg.M.H.7.16S,Sg.M.E.7.16S,Stomach,Feces,0.913299634
1,Sg.M.H.8.16S,Sg.M.E.7.16S,Stomach,Feces,0.911261146
1,Sg.M.H.9.16S,Sg.M.E.7.16S,Stomach,Feces,0.92529072
1,Sg.M.HC.1.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.983585817
1,Sg.M.HC.10.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.955302706
1,Sg.M.HC.2.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.91952418
1,Sg.M.HC.3.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.939143228
1,Sg.M.HC.4.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.994324006
1,Sg.M.HC.5.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.985503186
1,Sg.M.HC.6.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.937921323
1,Sg.M.HC.7.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.993410243
1,Sg.M.HC.8.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.988797934
1,Sg.M.HC.9.16S,Sg.M.E.7.16S,Stomach,Cloaca,0.994025566
1,Sg.M.H.1.16S,Sg.M.E.8.16S,Stomach,Feces,0.947313447
1,Sg.M.H.10.16S,Sg.M.E.8.16S,Stomach,Feces,0.913296565
1,Sg.M.H.2.16S,Sg.M.E.8.16S,Stomach,Feces,0.90743014
1,Sg.M.H.3.16S,Sg.M.E.8.16S,Stomach,Feces,0.931325095
1,Sg.M.H.4.16S,Sg.M.E.8.16S,Stomach,Feces,0.95118472
1,Sg.M.H.5.16S,Sg.M.E.8.16S,Stomach,Feces,0.923045658
1,Sg.M.H.6.16S,Sg.M.E.8.16S,Stomach,Feces,0.923492872
1,Sg.M.H.7.16S,Sg.M.E.8.16S,Stomach,Feces,0.91994599
1,Sg.M.H.8.16S,Sg.M.E.8.16S,Stomach,Feces,0.927066291
1,Sg.M.H.9.16S,Sg.M.E.8.16S,Stomach,Feces,0.951581469
