q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp,DT,Non_lethal,Turnover
0,Sg.M.I.10.16S,Sg.M.HC.10.16S,1.623430962,0.376569038,0.231958763,0.231958763,0.376569038,Intestine,Cloaca,0.623430962
1,Sg.M.I.10.16S,Sg.M.HC.10.16S,1.583581707,0.336808693,0.336808693,0.262959778,0.416418293,Intestine,Cloaca,0.583581707
2,Sg.M.I.10.16S,Sg.M.HC.10.16S,1.605908063,0.245401307,0.394091937,0.245401307,0.394091937,Intestine,Cloaca,0.605908063
0,Sg.M.R.10.16S,Sg.M.HC.10.16S,1.694117647,0.305882353,0.180555556,0.180555556,0.305882353,Rectum,Cloaca,0.694117647
1,Sg.M.R.10.16S,Sg.M.HC.10.16S,1.764510438,0.180732036,0.180732036,0.133458866,0.235489562,Rectum,Cloaca,0.764510438
2,Sg.M.R.10.16S,Sg.M.HC.10.16S,1.818201273,0.09998823,0.181798727,0.09998823,0.181798727,Rectum,Cloaca,0.818201273
0,Sg.M.E.4.16S,Sg.M.HC.4.16S,1.846153846,0.153846154,0.083333333,0.083333333,0.153846154,Stomach,Cloaca,0.846153846
1,Sg.M.E.4.16S,Sg.M.HC.4.16S,1.963726415,0.026406052,0.026406052,0.018471812,0.036273585,Stomach,Cloaca,0.963726415
2,Sg.M.E.4.16S,Sg.M.HC.4.16S,1.996054899,0.001976449,0.003945101,0.001976449,0.003945101,Stomach,Cloaca,0.996054899
0,Sg.M.I.4.16S,Sg.M.HC.4.16S,1.828571429,0.171428571,0.09375,0.09375,0.171428571,Intestine,Cloaca,0.828571429
1,Sg.M.I.4.16S,Sg.M.HC.4.16S,1.976791964,0.016838949,0.016838949,0.011740252,0.023208036,Intestine,Cloaca,0.976791964
2,Sg.M.I.4.16S,Sg.M.HC.4.16S,1.997916582,0.001042795,0.002083418,0.001042795,0.002083418,Intestine,Cloaca,0.997916582
0,Sg.M.R.4.16S,Sg.M.HC.4.16S,1.703703704,0.296296296,0.173913043,0.173913043,0.296296296,Rectum,Cloaca,0.703703704
1,Sg.M.R.4.16S,Sg.M.HC.4.16S,1.310973438,0.609361545,0.609361545,0.525583922,0.689026562,Rectum,Cloaca,0.310973438
2,Sg.M.R.4.16S,Sg.M.HC.4.16S,1.343178734,0.489005111,0.656821266,0.489005111,0.656821266,Rectum,Cloaca,0.343178734
0,Sg.M.E.5.16S,Sg.M.HC.5.16S,1.868852459,0.131147541,0.070175439,0.070175439,0.131147541,Stomach,Cloaca,0.868852459
1,Sg.M.E.5.16S,Sg.M.HC.5.16S,1.934438672,0.048085008,0.048085008,0.033891655,0.065561328,Stomach,Cloaca,0.934438672
2,Sg.M.E.5.16S,Sg.M.HC.5.16S,1.981991535,0.009086046,0.018008465,0.009086046,0.018008465,Stomach,Cloaca,0.981991535
0,Sg.M.I.5.16S,Sg.M.HC.5.16S,1.954285714,0.045714286,0.023391813,0.023391813,0.045714286,Intestine,Cloaca,0.954285714
1,Sg.M.I.5.16S,Sg.M.HC.5.16S,1.965688284,0.02496544,0.02496544,0.017455319,0.034311716,Intestine,Cloaca,0.965688284
